"Date ","Day","Quarter","Months","Years","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","No of trades "
"20/ Mar 2025","Friday","Q1","May","2024","EQ","2348.00","2348.00","2299.00","2318.65","2338.05","2339.30","2330.01","3743.90","2025.00","25,87,051","55254.00"
"19/ Mar 2025","Thursday","Q1","May","2024","EQ","2319.95","2342.00","2311.05","2308.50","2316.90","2318.65","2324.68","3743.90","2025.00","10,30,345","42002.00"
"18/ Mar 2025","Wednesday","Q1","May","2024","EQ","2274.00","2314.20","2259.75","2252.70","2304.55","2308.50","2291.19","3743.90","2025.00","8,78,007","47968.00"
"17/ Mar 2025","Tuesday","Q1","May","2024","EQ","2200.00","2286.90","2198.00","2221.10","2251.00","2252.70","2255.72","3743.90","2025.00","9,27,737","52613.00"
"13/ Mar 2025","Monday","Q1","May","2024","EQ","2249.00","2273.00","2215.60","2241.80","2222.45","2221.10","2237.90","3743.90","2025.00","7,50,310","52311.00"
"12/ Mar 2025","Friday","Q1","May","2024","EQ","2270.00","2280.00","2180.95","2250.60","2236.00","2241.80","2230.69","3743.90","2025.00","10,49,076","56794.00"
"11/ Mar 2025","Thursday","Q1","May","2024","EQ","2223.15","2267.85","2208.30","2228.30","2252.65","2250.60","2251.19","3743.90","2025.00","9,47,079","54661.00"
"10/ Mar 2025","Tuesday","Q1","April","2024","EQ","2245.00","2288.00","2220.00","2247.50","2224.40","2228.30","2258.17","3743.90","2025.00","9,40,113","57381.00"
"07/ Mar 2025","Monday","Q1","April","2024","EQ","2249.95","2267.65","2227.00","2252.85","2249.50","2247.50","2247.94","3743.90","2025.00","8,18,806","44934.00"
"06/ Mar 2025","Friday","Q1","April","2024","EQ","2260.00","2268.90","2226.15","2245.85","2251.00","2252.85","2250.92","3743.90","2025.00","8,90,270","81763.00"
"05/ Mar 2025","Thursday","Q1","April","2024","EQ","2153.95","2258.40","2148.05","2144.80","2242.00","2245.85","2219.60","3743.90","2025.00","13,70,106","81480.00"
"04/ Mar 2025","Wednesday","Q1","April","2024","EQ","2085.10","2154.00","2080.00","2117.10","2147.60","2144.80","2133.91","3743.90","2025.00","8,52,978","56864.00"
